Agency,State,DirectSharing,NVLS,2016Detections,2016Hits,2017Detections,2017Hits,2016To2017Detections,2016To2017Hits,AllTimeDetections,AllTimeHits,DataSharingLink,2016HitRatioReport,2017HitRatioReport,2016DetectionReport,2016HitReport,2017DetectionReport,2017HitReport,CombinedDetectionHit Data
Acworth Police Department,GA,270,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4945894-Data-Sharing-Report-Acworth-Police-Department.html,,,,,,,
Alamo Heights Police Department,TX,14,Y,"1,034",Not Provided,"407,825",Not Provided,"408,859",0,,,https://www.documentcloud.org/documents/4501639-Data-Sharing-Report-Alamo-Heights-Police.html,https://www.documentcloud.org/documents/4559445-Alamo-Heights-Police-Department-Detection-and.html,https://www.documentcloud.org/documents/4559446-Alamo-Heights-Police-Department-Detection-and.html,,,,,
American Canyon Police Department,CA,27,Y,"786,289",271,"638,034",194,"1,424,323",465,,,https://www.documentcloud.org/documents/4501640-Data-Sharing-Report-American-Canyon-Police.html,https://www.documentcloud.org/documents/4559447-American-Canyon-Police-Department-Detection-and.html,https://www.documentcloud.org/documents/4559448-American-Canyon-Police-Department-Detection-and.html,,,,,
Atlanta Police Department,GA,8,,Not Provided,Not Provided,"128,555,383","786,580","128,555,383*","786,580*",,,https://www.documentcloud.org/documents/4501641-Data-Sharing-Report-Atlanta-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4559449-Atlanta-Police-Department-All-Info.html
Auburn Police Department,CA,68,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4802024-Data-Sharing-Report-Auburn-Police-Department.html,,,,,,,
Austin Police Department,TX,817,Y,"2,834,037","3,225","22,693,151","37,472","25,527,188","40,697",,,https://www.documentcloud.org/documents/4432161-Data-Sharing-Report-Austin-Police-Department.html,,,http://www.documentcloud.org/documents/4439360-Austin-Police-Department-Detection-Report-2016.html,http://www.documentcloud.org/documents/4439358-Austin-Police-Department-Hit-Report-2016.html,http://www.documentcloud.org/documents/4439357-Austin-Police-Department-Detection-Report-2017.html,http://www.documentcloud.org/documents/4439359-Austin-Police-Department-Hit-Report-2017.html,
Austin Regional Intelligence Center,TX,32,,See Austin Police Department,See Austin Police Department,See Austin Police Department,See Austin Police Department,See Austin Police Department,See Austin Police Department,,,https://www.documentcloud.org/documents/4432162-Data-Sharing-Report-Austin-Regional-Intelligence.html,,,,,,,
Bakersfield Police Department,CA,111,Y,"257,260",296,"385,513",824,"642,773","1,120",,,https://www.documentcloud.org/documents/4432163-Data-Sharing-Report-Bakersfield-Police-Department.html,http://www.documentcloud.org/documents/4439353-Bakersfield-Police-Department-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439354-Bakersfield-Police-Department-Hit-Ratio-Report.html,,,,,
Ball Ground Police Department,GA,183,,"76,978",956,"47,301",505,"124,279","1,461",,,https://www.documentcloud.org/documents/4501642-Data-Sharing-Report-Ball-Ground-Police-Department.html,https://www.documentcloud.org/documents/4559451-Ball-Ground-Police-Department-Hit-Ratio-Report.html,https://www.documentcloud.org/documents/4559450-Ball-Ground-Police-Department-Hit-Ratio-Report.html,,,,,
Banks County Sheriff's Office,GA,Not Provided,,Not Provided,311,"2,082",22,"2,082*",333,,,,,https://www.documentcloud.org/documents/4936575-Banks-County-Sheriff-Hit-Ratio-Report-2017.html,,https://www.documentcloud.org/documents/4936576-Banks-County-Sheriff-Hit-Report-2016.html,,,
Beachwood Police Department,OH,2,Y,"78,710",311,"47,134",277,"125,844",588,,,http://www.documentcloud.org/documents/4502424-Data-Sharing-Report-Beachwood-Police-Department.html,https://www.documentcloud.org/documents/4559400-Beachwood-Police-Department-Detection-Hit-Report.html,https://www.documentcloud.org/documents/4559399-Beachwood-Police-Department-Detection-Hit-Report.html,,,,,
Bell Gardens Police Department,CA,Data Incomplete,,"1,192,582",237,"3,975,940",572,"5,168,522",809,,,,,,,,,,https://www.documentcloud.org/documents/4559437-Bell-Gardens-Police-Department-Detection-and-Hit.html
Bell Police Department,CA,298,,Not Provided,Not Provided,"461,990",6,"461,990*",6*,,,https://www.documentcloud.org/documents/4501422-Bell-Police-Department-Data-Sharing-Report.html,,https://www.documentcloud.org/documents/4781833-Bell-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Bernardsville Police Department,NJ,110,,"7,974",70,785,6,"8,759",76,,,https://www.documentcloud.org/documents/4559241-Data-Sharing-Report-Bernardsville-Police.html,,,,,,,https://www.documentcloud.org/documents/4781953-Bernardsville-Police-Department-Detections-Hits.html
Beverly Hills Police Department,CA,0,,"30,010,215","2,009","24,888,577","8,268","54,898,792","10,277",,,https://www.documentcloud.org/documents/4432164-Data-Sharing-Report-Beverly-Hills-Police.html,http://www.documentcloud.org/documents/4439355-Beverly-Hills-Police-Department-Hit-Ratio-Report.html,http://www.documentcloud.org/documents/4439356-Beverly-Hills-Police-Department-Hit-Ratio-Report.html,,,,,
Blairsville Police Department,GA,102,,"336,077",n/a,"261,253","1,697","597,330","1,697",,,https://www.documentcloud.org/documents/4501643-Data-Sharing-Report-Blairsville-Police-Department.html,,,https://www.documentcloud.org/documents/4559452-Blairsville-Police-Department-Detection-Report.html,,https://www.documentcloud.org/documents/4559453-Blairsville-Police-Department-Detection-Report.html,https://www.documentcloud.org/documents/4559454-Blairsville-Police-Department-Hit-Report-2017.html,
Blue Mound Police Department,TX,0,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4559244-Data-Sharing-Report-Blue-Mound-Police-Department.html,,,,,,,
Bossier Parish Sheriff's Office,LA,Not Provided,,n/a,n/a,"1,387,007","161,922","1,387,007*","161,922*",,,,,https://www.documentcloud.org/documents/4857973-Bossier-Parish-Sheriff-Detections-Hits-2017.html,,,,,
Brea Police Department,CA,22,Y,Not Provided,Not Provided,Not Provided,Not Provided,"1,786,760",618,,,https://www.documentcloud.org/documents/4501417-Brea-Police-Department-Data-Sharing-Report.html,,,https://www.documentcloud.org/documents/4559436-Brea-Police-Department-Detection-Report-2016.html,https://www.documentcloud.org/documents/4559435-Brea-Police-Department-Hit-Report-2016.html,,,
Brentwood Police Department,CA,136,Y,"2,096,585","2,208","12,907,973","5,969","15,004,558","8,177",,,https://www.documentcloud.org/documents/4432165-Data-Sharing-Report-Brentwood-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439347-Brentwood-Police-Department-Data-Sharing-Report.html
"Bristol Township Police Department
",PA,0,,"194,289",106,"268,481",410,"462,770",516,,,https://www.documentcloud.org/documents/4501421-Bristol-Township-Police-Department-Data-Sharing.html,https://www.documentcloud.org/documents/4559434-Bristol-Township-Police-Department-Hit-Ratio.html,https://www.documentcloud.org/documents/4559433-Bristol-Township-Police-Department-Hit-Ratio.html,,,,,
Broome County Sheriff's Office,NY,53,Y,"223,153","1,729","284,754","1,729","507,907","3,458",,,https://www.documentcloud.org/documents/4501418-Broome-County-Sheriff-Data-Sharing-Report.html,https://www.documentcloud.org/documents/4559432-Broome-County-Sheriff-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559431-Broome-County-Sheriff-Hit-Ratio-Report-2017.html,,,,,
Buena Park Police Department,CA,135,Y,"696,203",692,"589,061",300,"1,285,264",992,,,https://www.documentcloud.org/documents/4501419-Buena-Park-Police-Department-Data-Sharing-Report.html,https://www.documentcloud.org/documents/4559430-Buena-Park-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559429-Buena-Park-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Buffalo Police Department,NY,137,Y,"39,941,552",Not Provided,"45,577,684",Not Provided,"85,519,236",Not Provided,,,https://www.documentcloud.org/documents/4432166-Data-Sharing-Report-Buffalo-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439336-Buffalo-Police-Department-Data-Contribution-2016.html
Burbank Police Department,CA,0,,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4432167-Data-Sharing-Report-Burbank-Police-Department.html,,,,,,,
Burr Ridge Police Department,IL,851,Y,"15,028",38,"304,402",594,"319,430",632,,,https://www.documentcloud.org/documents/4501644-Data-Sharing-Report-Burr-Ridge-Police-Department.html,https://www.documentcloud.org/documents/4559455-Burr-Ridge-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4559456-Burr-Ridge-Police-Department-Hit-Ratio-Report-2017.html,,,,,
