RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
AZCOC010,Cochise County Sheriff's Office,Bisbee,Cochise County,AZ,Sheriff,County,Body-worn Cameras,Axon,"The Cochise County Sheriff's office received approve to spend $580,784 over five years to outfit 60 officers with Axon body-worn cameras. ",http://agenda.cochise.az.gov/agenda_publish.cfm?id=&mt=ALL&get_month=3&get_year=2019&dsp=agm&seq=4366&rev=0&ag=1606&ln=56841&nseq=&nrev=&pseq=&prev=#ReturnTo56841,http://web.archive.org/web/20190820224316/http://agenda.cochise.az.gov/agenda_publish.cfm?id=&mt=ALL&get_month=3&get_year=2019&dsp=agm&seq=4366&rev=0&ag=1606&ln=56841&nseq=&nrev=&pseq=&prev=,Info on a government website,Cochise Website,3/26/2019,,,,,,,,,,,,,,
AZCOC014,Cochise County Sheriff's Office,Bisbee,Cochise County,AZ,Sheriff,County,Camera Network,Cogniac,"In 2016, the Cochise County Sheriff’s Office began building a “virtual fence system” from 50 wireless cameras. It is funded by the Joint Border Security Advisory Committee, a state body overseeing border issues. The Sheriff’s office placed these BuckEye cameras in a 42-square mile area in the San Pedro River Valley that covers about 14 miles of the U.S.-Mexico border and extends three miles north from the border.",https://www.documentcloud.org/documents/6353428-JBAC-January-18-2018.html,http://web.archive.org/web/20190820224326/http://agenda.cochise.az.gov/docs/2018/BOS/20180213_1377/3802_Border%20Security%20Advisory%20Committee%20Application%202017-2018.pdf,Public Records,Cochise County Sheriff's Office,12/4/2017,,https://web.archive.org/web/*/https://theintercept.com/2019/07/23/google-ai-gradient-ventures/,,,https://www.documentcloud.org/documents/6353431-Cochise-County-4119-Cogniac-Agreement.html,,,,,,,,,
AZCOC001,Cochise County Sheriff's Office,Bisbee,Cochise County,AZ,Sheriff,County,Cell-site Simulators,,"While the Cochise County Sheriff’s Office does not own a cell-site simulator, search warrant records obtained by a local reporter show that deputies have the ability to access such a device maintained by the U.S. Marshals Service. ",https://www.documentcloud.org/documents/5002045-Doc-10-14-2018-12-49-25.html?fbclid=IwAR1T3DcYKOlJ1H875gCnVyFyfcQ2weiqDNFJX010tBIxakx_LUUlExImm0c,https://www.documentcloud.org/documents/5002045-Doc-10-14-2018-12-49-25.html?fbclid=IwAR1T3DcYKOlJ1H875gCnVyFyfcQ2weiqDNFJX010tBIxakx_LUUlExImm0c,Court Records,Bisbee Justice Court,5/3/2018,,https://www.documentcloud.org/documents/5002053-Doc-10-14-2018-13-46-56.html?fbclid=IwAR3dlbnwM4-oHggLjya3uKkkR4Jl1fBzzslgeskQqxuJp9YCJsXQwPURwqI,,,https://www.documentcloud.org/documents/5002053-Doc-10-14-2018-13-46-56.html?fbclid=IwAR3dlbnwM4-oHggLjya3uKkkR4Jl1fBzzslgeskQqxuJp9YCJsXQwPURwqI,,,,,,,,,
AZCOC012,Cochise County Sheriff's Office,Bisbee,Cochise County,AZ,Sheriff,County,Drones,Lockheed Martin,"In 2014, the Cochise County Sheriff's Office received a Lockheed Martin QR-425 Unmanned Aerial Vehicle (UAV) for use in law enforcement and search and rescue activities. S",http://agenda.cochise.az.gov/mindocs/2014/BOS/20140408_628/42_04-08-14_1116_MINUTESpacket.pdf,http://web.archive.org/web/20190820224323/http://agenda.cochise.az.gov/mindocs/2014/BOS/20140408_628/42_04-08-14_1116_MINUTESpacket.pdf,Public Records,Cochise County Board of Supervisors Meeting,4/8/2014,,,,,,,,,,,,,,
AZCOC003,Cochise County Sheriff's Office,Bisbee,Cochise County,AZ,Sheriff,County,Starchase,Starchase,"In 2012, the Arizona Department of Public Safety transferred two StarChase vehicle pursuit management systems to the Cochise County Sheriff's Office. ",http://agenda.cochise.az.gov/agenda_publish.cfm?id=&mt=ALL&get_month=6&get_year=2012&dsp=agm&seq=766&rev=0&ag=268&ln=16517&nseq=789&nrev=0&pseq=&prev=#ReturnTo16517,http://web.archive.org/web/20190820224311/http://agenda.cochise.az.gov/agenda_publish.cfm?id=&mt=ALL&get_month=6&get_year=2012&dsp=agm&seq=766&rev=0&ag=268&ln=16517&nseq=789&nrev=0&pseq=&prev=,Info on a government website,Cochise County Board of Supervisors Meeting,6/12/2012,,,,,,,,,,,,,,
AZCOC016,Fort Huachuca Military Police,Fort Huachuca,Cochise County,AZ,Military Police,Military,Camera Network,Panasonic,"In late 2013, the Fort Huachuca Military Police Department purchased 22 Panasonic Arbitrator digital video systems to capture 360-degree footage of everything inside and outside of patrol vehicles.","https://www.ruggedmobilityforbusiness.com/2013/09/fort-huachuca-police-advance-mobile-efficiency-with-panasonic-solution/  
",http://web.archive.org/web/20190820224343/https://www.ruggedmobilityforbusiness.com/2013/09/fort-huachuca-police-advance-mobile-efficiency-with-panasonic-solution/,New Article,Panasonic,9/11/2013,,https://www.security.us.panasonic.com/case-studies/case/fort-huachuca,,,http://web.archive.org/web/20190820225836/https://www.security.us.panasonic.com/case-studies/case/fort-huachuca,,,,,,,,,
AZCOC020,Huachuca City Police,Huachuca City,Cochise County,AZ,Police,Municipal,Body-worn Cameras,,"Huachuca City set aside $3,200 for body-worn cameras in its 2017 budget. ",https://www.huachucacityaz.gov//Documents/AgendasMinutes/Council/Agendas/2017/08-02-2017%20Public%20Notice%20-%20Budget.pdf,http://web.archive.org/web/20190820224355/https://www.huachucacityaz.gov//Documents/AgendasMinutes/Council/Agendas/2017/08-02-2017%20Public%20Notice%20-%20Budget.pdf,Public Records,Town of Huachuca City Council Minutes,7/21/2017,,,,,,,,,,,,,,
AZCOC005,Sierra Vista Police Department,Sierra Vista,Cochise County,AZ,Police,Municipal,Body-worn Cameras,Axon,Sierra Vista Police Department purchased 62 Axon body-worn cameras in 2017. ,https://www.myheraldreview.com/free_access/sierra-vista-police-ready-to-don-body-cameras-next-week/article_d0724dae-e840-11e6-9ce0-cfb338fd216e.html,http://web.archive.org/web/20190820225829/https://www.myheraldreview.com/free_access/sierra-vista-police-ready-to-don-body-cameras-next-week/article_d0724dae-e840-11e6-9ce0-cfb338fd216e.html,New Article,Herald/Review,2/1/2017,,,,,,,,,,,,,,
AZCOC002,Sierra Vista Police Department,Sierra Vista,Cochise County,AZ,Police,Municipal,Drones,,"Since 2018, the Sierra Vista Police Department has been developing an drone program, but as of July 2019, it had not yet received approval from the Federal Aviation Administration.",https://www.myheraldreview.com/news/government/svpd-plans-to-start-officer-drone-program/article_a6b4bb8c-3ee8-11e8-b275-23c6af07ebcb.html,http://web.archive.org/web/20190820224311/https://www.myheraldreview.com/news/government/svpd-plans-to-start-officer-drone-program/article_a6b4bb8c-3ee8-11e8-b275-23c6af07ebcb.html,New Article,My Herald Review,4/13/2018,,https://www.bensonnews-sun.com/news/article_06b2ffc4-ecf1-11e8-8468-8f6635082d62.html,,,http://web.archive.org/web/20190820225823/https://www.bensonnews-sun.com/news/article_06b2ffc4-ecf1-11e8-8468-8f6635082d62.html ,,,,,,,,,
AZCOC011,Tombstone Marshal's Office,Tombstone,Cochise County,AZ,Marshal ,Municipal,Drones,,"Tombstone Marshal’s Office, Fire Department, and Public Works Departments fly a drone for various operations, including “search and rescue, firefighting, utility inspections, accident scene reconstruction, warrant service, and many other applications.”",http://thetombstonenews.com/clients/thetombstonenews/TMBNEWS050319.pdf,http://web.archive.org/web/20190820224318/http://thetombstonenews.com/clients/thetombstonenews/TMBNEWS050319.pdf,New Article,The Tombstone News,5/3/2019,,https://www.facebook.com/pg/Tombstone-Marshals-Office-128767120474147/posts/,,,https://www.facebook.com/pg/Tombstone-Marshals-Office-128767120474147/posts/,,,,,,,,,
