Ref,Agency,City,County,State,TypeofLEA,TypeofJuris,Technology,Vendor,Summary,Link1,Link1Source,Link1Date,Link1DateComment,Link1Type,Link2,Link2Source,Link2Date,Link2DateComment,Link2Type,Link3,Link3Source,Link3Date,Link3DateComment,Link3Type,OtherLinks
EDU001,Abraham Baldwin Agricultural College Police Department,Tifton,Tift County,GA,Police,University,Body-worn Cameras,,The Abraham Baldwin Agricultural College Police Department uses body-worn cameras. ,https://www.ajc.com/news/local-education/college-police-departments-following-body-camera-trend/cguy278tYv1plj1PGiBePN/,The Atlanta Journal-Constitution,11/4/2016,,News article,,,,,,,,,,,
EDU002,Agnes Scott College Department of Public Safety,Decatur,DeKalb County,GA,Police,University,Body-worn Cameras,Axon,Police officers with the Agnes Scott College Department of Public Safety wear Axon body-worn cameras. ,https://www.facebook.com/ASCPolice/photos/pcb.10156760286198214/10156760283263214/,Agnes Scott College Police Facebook page,8/30/2019,,Social media,,,,,,,,,,,
EDU003,Albany State University Police Department,Albany,Dougherty County,GA,Police,University,Body-worn Cameras,,The Albany State University Police Department has been using body-worn cameras since at least January 2012.,https://www.asurams.edu/docs/legal-affairs/policies/Standard-Operating-Manual.pdf,Albany State University Police Departement,16-Oct,,Policy,,,,,,,,,,,
EDU004,Arizona State University Police Department,Tempe,Maricopa County,AZ,Police,University,Body-worn Cameras,,The Arizona State University Police Department purchased 80 body-worn cameras in 2015.  ,https://www.phoenixnewtimes.com/news/asu-police-now-wearing-body-cameras-7805003,Phoenix New Times,11/6/2015,,News article,https://www.facebook.com/ASUPolice/photos/a.859670264070197/2662193137151225,ASU Police Department Facebook page,1/31/2020,,Social media,,,,,,
EDU005,Arkansas State University Police Department,Jonesboro,Craighead County,AR,Police,University,Body-worn Cameras,,The Arkansas State University Police Department uses body-worn cameras. ,https://www.nwaonline.com/news/2015/oct/24/police-at-ua-to-begin-using-body-camera/,Northwest Arkansas Democrat Gazette,10/25/2015,,News article,,,,,,,,,,,
EDU006,Arkansas Tech University,Russellville,Pope County,AR,Police,University,Body-worn Cameras,,"The U.S. Department of Justice awarded $17,656 to the Arkansas Tech University in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.",https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,U.S Department of Justice,2016,,Government information,,,,,,,,,,,https://www.slcatlanta.org/Publications/HSPS/Body-WornCameras.pdf
EDU007,Atlanta Metropolitan State College Police Department,Atlanta,"Fulton County, DeKalb County",GA,Police,University,Body-worn Cameras,Axon,The Atlanta Metropolitan State College Police Department uses Axon body-worn cameras. ,https://www.facebook.com/amscpolice/photos/a.125308109232560/148039283626109/?type=3&theater,Atlanta Metropolitan State College Police Department Facebook page ,8/23/2020,,Social media,https://www.ajc.com/news/local-education/college-police-departments-following-body-camera-trend/cguy278tYv1plj1PGiBePN/,Atlanta Journal-Constitution,9/4/2016,,News article,,,,,,
EDU008,Binghamton University Police Department,Binghamton,Broome County,NY,Police,University ,Automated License Plate Readers,Genetec,The Binghamton University Police Department uses Genetec automated license plate readers. ,https://www.axis.com/files/success_stories/ss_edu_binghamton_univ_en_2003_lo.pdf,Axis Communications,,,Vendor website,,,,,,https://www.pressconnects.com/story/news/local/2017/09/18/your-license-plate-data-being-collected-binghamton/676536001/,,,,,
EDU009,Bowling Green State University Parking and Shuttle Services,Bowling Green,Wood County,OH,Parking Enforcement,University ,Automated License Plate Readers,,Bowling Green State University Parking and Shuttle Services began using license plate readers for parking enforcement in 2017. ,http://www.bgsu.edu/content/dam/emails/zoom/2017/06/June08.html,ZOOM News,6/8/2017,,University information,,,,,,,,,,,
EDU010,Brigham Young University Police Department,Provo,Utah County,UT,Police,University,Automated License Plate Readers,,The Brigham Young University Police Department has used automated license plate readers since at least 2012. ,https://archive.sltrib.com/article.php?id=54341662&itype=CMSID,The Salt Lake Tribune,7/2/2012,,News article,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwij-9zRo63qAhVaJzQIHRaZDmMQFjADegQIBBAB&url=https%3A%2F%2Fdigitalcommons.hamline.edu%2Fcgi%2Fviewcontent.cgi%3Farticle%3D1054%26context%3Dhlr&usg=AOvVaw1CCpz1H4H5eq0IIuuoskVS,Hameline Law Review,7/7/1905,,Academic report,,,,,,
EDU011,Cal Poly State University Police Department,San Luis Obispo ,San Luis Obispo County,CA,Police,University,Body-worn Cameras,,Cal Poly Police Department began using body-worn cameras in August 2018. ,https://afd.calpoly.edu/police/police-administration/body-worn-cameras ,Cal Poly Police Department,,,University website ,,,,,,,,,,,
EDU012,Cal State Monterey University Police Department,Seaside,Monterey County,CA,Police,University,Drones,DJI,"The Cal State Monterey University Police Department operates one DJI Phantom drone as of 2015, according to data compiled by the Center for the Study of the Drone at Bard College.",https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/,Center for the Study of the Drone at Bard College,2020,,Academic report,,,,,,,,,,,http://registry.faa.gov/aircraftinquiry/NNum_Results.aspx?NNumbertxt=551NA
EDU013,California State Polytechnic Pomona University Police Department,Pomona,Los Angeles County,CA,Police,University,Social Media Monitoring,Social Sentinel,The California State Polytechnic Pomona University Police Department uses Social Sentinel social media monitoring services. ,https://beta.documentcloud.org/documents/20404658-calpolypomona-social-sentinel,Cal Poly Ponoma,11/12/2020,,Correspondence,https://www.cpp.edu/~police/Media-Log-ending-9-27-17.pdf,Cal Poly Ponoma,9/27/2017,,University website,https://www.cpp.edu/~police/Media-Log-ending-10-31-17.pdf,Cal Poly Ponoma,10/31/2017,,University website,
EDU014,California State University Fullerton Police Department,Fullerton,Orange County,CA,Police,University,Body-worn Cameras,Axon,"The California State University Fullerton Police Department purchased 140 Axon body-worn cameras in 2014 for $650,300.",https://police.fullerton.edu/documents/policies/chapter4/4-14%20Body%20Worn%20Cameras.pdf,California State University Fullerton Police Department,8/19/2015,,Government information,https://dailytitan.com/2014/09/police-body-cameras-will-benefit-both-officers-and-public/,Daily Titan,9/22/2014,,News article,,,,,,
EDU015,California State University Northridge Police Department,Los Angeles,Los Angeles County,CA,Police,University,Body-worn Cameras,Axon,"The California State University Northridge Police Department began deploying 28 Axon body-worn Cameras in 2018. The BWC program will cost $185,000 over five years. ",https://www.dailynews.com/2017/10/29/csun-police-are-now-wearing-body-cameras-in-move-to-enhance-bonds-with-community/,Los Angeles Daily News,10/29/2017,,News article,https://csunshinetoday.csun.edu/university-news/csun-police-strengthen-positive-relationship-with-campus-community/,CSUN Today,8/22/2017,,News article,,,,,,
EDU016,California State University San Marcos Police Department,San Marcos,San Diego County,CA,Police,University,Body-worn Cameras,Axon,California State University San Marcos Police Department issues Axon body-worn cameras to all uniformed officers.,https://www.csusm.edu/police/bodyworncameras/body.worn.camera.faq.pdf,California State University Police Department,,,Policy,,,,,,,,,,,
EDU017,"California State University, Long Beach Police Department",Long Beach,Los Angeles County,CA,Police,University,Body-worn Cameras,,"The California State University, Long Beach Police Department uses body-worn cameras.",https://www.csulb.edu/sites/default/files/groups/university-police/go_4_-_body_worn_cameras1.pdf,"California State University, Long Beach  ",3/1/2018,,Policy,https://twitter.com/CSULBPolice/status/1255621053033766912/photo/1,Twitter,4/29/2020,,Social media,,,,,,
EDU018,"California State University, Northridge Police Department",Northridge,Los Angeles County,CA,Police,University ,Automated License Plate Readers,,"The California State University, Northridge Police Department uses automated license plate readers. ",https://www.csun.edu/sites/default/files/200902LicensePlateRecognitionSystem-12182019.pdf,"California State University, Northridge Police Department",1/7/2015,,University website,,,,,,,,,,,
EDU019,Central Connecticut State University Police Department,New Britain,Hartford County,CT,Police,University,Body-worn Cameras,WatchGuard,The Cental Connecticut State University Police Department uses body-worn cameras. ,https://www.facebook.com/Central-Connecticut-State-University-Police-Department-276748402511956/photos/a.290784557775007/1199523453567775,Cental Connecticut State University Police Department,8/15/2019,,Social media,,,,,,,,,,,
EDU020,Citadel Public Safety,Charleston,Charleston County,SC,Police,University,Body-worn Cameras,,"The Citadel Public Safety purchased body-worn cameras in 2016 with a $9,600 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU021,Cleveland State University Parking Services,Cleveland,Cuyahoga County,OH,Parking Enforcement,University ,Automated License Plate Readers,,"Cleveland State University Parking Services uses automated license plate readers for parking enforcement, according to records from 2014. ",https://www.csuohio.edu/sites/default/files/Parking%20Advisory%20Committee%20%20November%2014%202014%20%20MEETING%20SUMMARY_1.pdf,Cleveland State University Parking Services,11/14/2014,,University information,,,,,,,,,,,
EDU022,Coastal Carolina University Police Department,Conway,Horry County,SC,Police,University,Body-worn Cameras,,"The Coastal Carolina University purchased body-worn cameras in 2016 with a $24,000 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU023,College of Charleston Campus Police,Charleston,Charleston County,SC,Police,University,Body-worn Cameras,,"The College of Charleston Campus Police purchased body-worn cameras in 2016 with a $34,757 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU024,Collin College Police Department,McKinney,Collin County,TX,Police,University,Social Media Monitoring,Social Sentinel,The Collin College Police Department reported a contract with Social Sentinel for social media monitoring software in 2019. ,http://inside.collin.edu/collegeupdate/20190129_SafetyPlanUpdate.pdf,Collin College,1/22/2019,,Annual report,,,,,,,,,,,
EDU025,Colorado State University Parking and Transportation Services,Fort Collins,Larimer County,CO,Parking Enforcement,University ,Automated License Plate Readers,,The Colorado State University Parking and Transportation Services uses automated-licese plate readers for parking enforcement. ,https://pts.colostate.edu/parking/virtual-permits/,Colorado State University Parking and Transportation Services,,,University information,,,,,,,,,,,
EDU026,Colorado State University Police Department,Fort Collins,Larimer County,CO,Police,University,Body-worn Cameras,Axon,The Colorado State University Police Department uses body-worn cameras. ,https://police.colostate.edu/wp-content/uploads/sites/85/2020/03/418-Body-Worn-Cameras.pdf,Colorado State University Police Department Policy Manual,7/15/2020,,Policy,https://www.coloradoan.com/story/news/2017/11/21/police-body-camera-video-fatal-shooting-jeremy-holmes/884711001/,Coloradoan,11/21/2017,,News article,https://www.facebook.com/CSUSafetyandPolice/photos/1591061484374283,CSU Police Facebook page,4/7/2020,,Social media,
EDU027,Colorado State University Police Department,Fort Collins,Larimer County,CO,Police,University,Drones,DJI,"The Colorado State University Police Department operates one DJI Inspire drone as of 2016, according to data compiled by the Center for the Study of the Drone at Bard College.",https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/,Center for the Study of the Drone at Bard College,2020,,Academic report,,,,,,,,,,,http://psflight.org/3090/colorado-public-safety-drone-team-leads-way-many/ https://www.larimeruas.com/
EDU028,Columbia College Police Department,Columbia,Richland County,SC,Police,University,Body-worn Cameras,Wolfcom,"The Columbia College Police Department uses Wolfcom body-worn cameras, according to a testimonial on the company's website.",https://wolfcomusa.com/police-body-camera-testimonials/,Wolfcom,,,Vendor information,https://onezero.medium.com/exclusive-live-facial-recognition-is-coming-to-u-s-police-body-cameras-bc9036918ae0,OneZero,3/4/2020,,News article,,,,,,
EDU029,Columbus State University Police Department,Columbus,Muscogee County,GA,Police,University,Body-worn Cameras,,The Columbus State University Police Department has been using body-worn cameras since 2009 and upgraded the cameras in 2014. ,https://www.wtvm.com/story/27431730/csu-officers-using-upgraded-body-cameras/,WTVM9,7/10/2014,,News article,,,,,,,,,,,
EDU030,Cornell University Police,Ithaca,Tompkins County,NY,Police,University,Body-worn Cameras,,The Cornell University Police equipped all uniformed officers with body-worn cameras in 2017.,https://news.cornell.edu/stories/2017/02/cornell-police-implements-body-camera-program,Cornell Chronicle,2/2/2017,,News article,,,,,,,,,,,
